x,y,v
179.3083,98.67102,45
172.3083,117.181,45
165.5735,127.2894,45
151.7483,140.371,45
133.4783,150.771,45
114.8083,156.621,45
103.8935,158.4294,45
94.21827,158.891,45
85.37355,158.731,45
70.40827,157.101,45
61.24355,155.4194,45
45.30827,151.201,60
36.03354,148.141,60
15.90826,140.121,60
5.64827,135.321,60
-9.99173,127.081,80
-24.01645,119.021,80
-32.16173,113.361,80
-43.49173,105.941,80
-61.09,92.88499,80
-78.29172,78.73102,80
-93.05002,65.34102,80
-107.7717,50.57938,80
-123.3917,33.37102,80
-134.97,18.404,80
-145.1165,4.339378,80
-158.3417,-17.42898,60
-164.3164,-30.18062,60
-169.3365,-42.84062,60
-175.4917,-66.52898,60
-176.9617,-76.85062,60
-176.8864,-90.64063,60
-175.0817,-100.3206,60
-170.3617,-115.129,60
-164.4217,-124.5206,60
-158.9417,-131.399,60
-146.6317,-141.329,60
-134.6765,-147.489,60
-126.4965,-150.849,60
-108.5617,-155.499,70
-95.20645,-157.609,70
-73.86172,-159.129,70
-42.38173,-159.099,70
-24.5017,-157.469,70
2.90826,-153.909,70
22.1083,-151.629,70
47.20827,-148.129,50
75.06355,-143.929,50
91.19354,-139.979,50
107.3083,-134.209,45
114.2635,-130.6506,45
122.5583,-123.779,45
126.6183,-118.159,45
129.1083,-108.669,45
129.1283,-100.349,45
126.8983,-89.95898,45
122.3383,-79.97897,45
117.2083,-69.827,45
98.34827,-42.02898,45
83.63827,-20.72898,45
79.68355,-12.66062,45
78.52827,-7.878983,45
77.04827,-1.338982,45
77.87827,5.75,45
81.37827,12.86102,45
88.33827,19.95102,45
95.31827,25.33102,45
102.9283,29.88102,45
118.5435,38.04939,45
133.2435,45.58102,45
156.5083,59.27102,45
165.7435,66.92102,45
175.9083,79.57102,45
EOF
